%%MatrixMarket matrix coordinate real general
% Generated by MFEM
36 20 1.12912835910980e-03
37 19 1.67635726404208e-03
37 20 -2.78424485558387e-04
37 5 1.66666666844772e-01
38 19 -6.25625048104219e-03
38 20 1.03909432617513e-03
38 6 1.66666666844772e-01
39 19 1.66641251985401e-01
39 20 -1.45616509203132e-04
39 5 1.47163162707584e-03
39 6 -6.81482092702062e-03
40 19 -1.45616509203118e-04
40 20 1.63097149021929e-01
40 5 -3.94322506031070e-04
40 6 1.82602576395789e-03
41 22 1.66666666844772e-01
41 19 -9.40509406597965e-04
41 20 1.13173122851999e-03
42 21 1.66666666844772e-01
42 19 2.52008735971799e-04
42 20 -3.03246468731013e-04
43 5 -1.06241252641969e-03
43 6 3.79632201262734e-04
44 5 3.96497752719588e-03
44 6 -1.41680666330174e-03
45 5 -7.89346346085461e-03
45 6 -9.82990903658717e-03
46 5 -2.11504715982057e-03
46 6 -2.63391618802493e-03
47 19 2.06214605570823e-03
47 20 1.12912835910980e-03
48 19 7.69603385253089e-03
48 20 4.21396440446464e-03
49 26 2.52008735971799e-04
49 25 -3.03246468731012e-04
49 21 1.66666666844772e-01
50 26 -9.40509406597965e-04
50 25 1.13173122851998e-03
50 22 1.66666666844772e-01
51 27 -3.94322506031070e-04
51 28 1.82602576395789e-03
51 26 -1.45616509203115e-04
51 25 1.63097149021929e-01
52 27 1.47163162707584e-03
52 28 -6.81482092702062e-03
52 26 1.66641251985401e-01
52 25 -1.45616509203115e-04
53 28 1.66666666844772e-01
53 26 -6.25625048104220e-03
53 25 1.03909432617513e-03
54 27 1.66666666844772e-01
54 26 1.67635726404208e-03
54 25 -2.78424485558387e-04
55 27 3.96497752719588e-03
55 28 -1.41680666330174e-03
56 27 -1.06241252641969e-03
56 28 3.79632201262734e-04
57 27 2.11504715982057e-03
57 28 2.63391618802493e-03
58 27 7.89346346085460e-03
58 28 9.82990903658716e-03
59 26 -2.06214605570823e-03
59 25 -1.12912835910979e-03
60 26 -7.69603385253088e-03
60 25 -4.21396440446463e-03
61 32 3.94322506031071e-04
61 31 -1.82602576395789e-03
61 27 1.66666666844772e-01
62 32 -1.47163162707584e-03
62 31 6.81482092702062e-03
62 28 1.66666666844772e-01
63 32 2.32222616497229e-04
63 31 1.69727295122939e-01
63 27 -1.47163162707584e-03
63 28 6.81482092702062e-03
64 32 1.71485163816607e-01
64 31 2.32222616497225e-04
64 27 3.94322506031070e-04
64 28 -1.82602576395789e-03
65 32 -3.96497752719590e-03
65 31 1.41680666330174e-03
66 32 1.06241252641969e-03
66 31 -3.79632201262734e-04
67 27 1.06241252641969e-03
67 28 -3.79632201262734e-04
68 27 -3.96497752719588e-03
68 28 1.41680666330174e-03
69 27 7.89346346085460e-03
69 28 9.82990903658716e-03
70 27 2.11504715982056e-03
70 28 2.63391618802493e-03
71 32 -2.11504715982057e-03
71 31 -2.63391618802493e-03
72 32 -7.89346346085461e-03
72 31 -9.82990903658716e-03
73 37 1.66666666844772e-01
73 32 1.47163162707584e-03
73 31 -6.81482092702062e-03
74 38 1.66666666844772e-01
74 32 -3.94322506031071e-04
74 31 1.82602576395789e-03
75 40 -7.32452724501148e-04
75 39 1.57946521571835e-01
75 38 1.13173122851999e-03
75 37 -9.40509406597966e-04
76 40 1.50362526441362e-01
76 39 -7.32452724501148e-04
76 38 -3.03246468731013e-04
76 37 2.52008735971799e-04
77 32 -1.06241252641969e-03
77 31 3.79632201262734e-04
78 32 3.96497752719590e-03
78 31 -1.41680666330174e-03
79 38 -2.78424485558387e-04
79 37 1.67635726404208e-03
79 32 1.71485163816607e-01
79 31 2.32222616497225e-04
80 38 1.03909432617513e-03
80 37 -6.25625048104220e-03
80 32 2.32222616497229e-04
80 31 1.69727295122939e-01
81 38 4.21396440446464e-03
81 37 7.69603385253089e-03
82 38 1.12912835910980e-03
82 37 2.06214605570823e-03
83 32 -7.89346346085461e-03
83 31 -9.82990903658716e-03
84 32 -2.11504715982057e-03
84 31 -2.63391618802493e-03
85 26 9.40509406597965e-04
85 25 -1.13173122851998e-03
85 17 1.66666666844772e-01
86 26 -2.52008735971799e-04
86 25 3.03246468731012e-04
86 18 1.66666666844772e-01
87 44 3.90101130884096e-04
87 43 1.73396507839362e-01
87 38 3.03246468731013e-04
87 37 -2.52008735971799e-04
88 44 1.66515955533892e-01
88 43 3.90101130884099e-04
88 38 -1.13173122851999e-03
88 37 9.40509406597966e-04
89 38 1.66666666844772e-01
89 26 -1.67635726404208e-03
89 25 2.78424485558387e-04
90 37 1.66666666844772e-01
90 26 6.25625048104220e-03
90 25 -1.03909432617513e-03
91 38 -1.03909432617513e-03
91 37 6.25625048104220e-03
91 26 1.66641251985401e-01
91 25 -1.45616509203115e-04
92 38 2.78424485558387e-04
92 37 -1.67635726404208e-03
92 26 -1.45616509203115e-04
92 25 1.63097149021929e-01
93 38 1.12912835910980e-03
93 37 2.06214605570823e-03
94 38 4.21396440446464e-03
94 37 7.69603385253089e-03
95 26 -7.69603385253088e-03
95 25 -4.21396440446463e-03
96 26 -2.06214605570823e-03
96 25 -1.12912835910979e-03
97 48 -2.52008735971799e-04
97 47 3.03246468731011e-04
97 45 1.66666666844772e-01
98 48 9.40509406597965e-04
98 47 -1.13173122851998e-03
98 46 1.66666666844772e-01
99 49 2.78424485558387e-04
99 50 -1.67635726404208e-03
99 48 -1.45616509203108e-04
99 47 1.63097149021929e-01
100 49 -1.03909432617513e-03
100 50 6.25625048104219e-03
100 48 1.66641251985401e-01
